Disposition,OffenderStatus,Offender_Race,Offender_Gender,Offender_Age,PersonType,Victim_Race,Victim_Gender,Victim_Age,Victim_Fatal_Status,Report Type,Category
CLOSED,ARRESTED,BLACK,MALE,32,VICTIM,BLACK,MALE,46,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,68,VICTIM,BLACK,MALE,67,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,68,VICTIM,BLACK,MALE,67,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,18,VICTIM,BLACK,FEMALE,25,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,18,VICTIM,BLACK,FEMALE,25,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,FEMALE,40,VICTIM,BLACK,MALE,41,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,24,VICTIM,BLACK,FEMALE,22,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,FEMALE,13,REPORTING PERSON,WHITE,MALE,48,Non-fatal,Incident Report,Theft
CLOSED,ARRESTED,BLACK,MALE,30,VICTIM,BLACK,MALE,47,Non-fatal,Supplemental Report,Vandalism
CLOSED,ARRESTED,BLACK,MALE,23,VICTIM,BLACK,FEMALE,21,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,27,VICTIM,WHITE,FEMALE,50,Non-fatal,Incident Report,Miscellaneous
CLOSED,ARRESTED,BLACK,MALE,27,VICTIM,WHITE,FEMALE,50,Non-fatal,Incident Report,Miscellaneous
CLOSED,ARRESTED,WHITE,MALE,23,VICTIM,WHITE,MALE,48,Non-fatal,Incident Report,Miscellaneous
CLOSED,ARRESTED,BLACK,MALE,20,VICTIM,BLACK,FEMALE,19,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,20,VICTIM,BLACK,FEMALE,19,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,WHITE,MALE,37,VICTIM,WHITE,FEMALE,41,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,43,VICTIM,BLACK,FEMALE,43,Non-fatal,Incident Report,Vandalism
CLOSED,ARRESTED,UNKNOWN,MALE,37,VICTIM,BLACK,MALE,37,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,UNKNOWN,MALE,37,VICTIM,BLACK,MALE,37,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,WHITE,MALE,32,VICTIM,BLACK,FEMALE,35,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,WHITE,MALE,32,VICTIM,BLACK,FEMALE,35,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,WHITE,MALE,32,VICTIM,BLACK,FEMALE,35,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,41,VICTIM,BLACK,FEMALE,40,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,22,VICTIM,BLACK,FEMALE,21,Non-fatal,Incident Report,Miscellaneous
CLOSED,ARRESTED,BLACK,MALE,35,VICTIM,BLACK,MALE,42,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,35,VICTIM,BLACK,MALE,30,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,35,VICTIM,BLACK,FEMALE,25,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,35,VICTIM,BLACK,MALE,36,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,35,VICTIM,WHITE,FEMALE,33,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,35,VICTIM,WHITE,MALE,36,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,WHITE,FEMALE,26,VICTIM,BLACK,FEMALE,64,Non-fatal,Supplemental Report,Miscellaneous
CLOSED,ARRESTED,WHITE,FEMALE,26,VICTIM,BLACK,FEMALE,64,Non-fatal,Supplemental Report,Miscellaneous
CLOSED,ARRESTED,BLACK,MALE,26,VICTIM,BLACK,MALE,51,Non-fatal,Incident Report,Miscellaneous
CLOSED,ARRESTED,BLACK,MALE,30,VICTIM,BLACK,FEMALE,45,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,30,VICTIM,BLACK,FEMALE,45,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,17,VICTIM,BLACK,MALE,27,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,39,VICTIM,WHITE,MALE,40,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,WHITE,MALE,29,VICTIM,BLACK,MALE,41,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,24,VICTIM,BLACK,FEMALE,22,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,33,VICTIM,BLACK,MALE,32,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,33,VICTIM,BLACK,FEMALE,28,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,21,VICTIM,BLACK,MALE,20,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,32,VICTIM,BLACK,MALE,74,Non-fatal,Supplemental Report,Miscellaneous
CLOSED,ARRESTED,BLACK,MALE,62,VICTIM,WHITE,FEMALE,39,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,BLACK,MALE,39,VICTIM,BLACK,FEMALE,29,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,39,VICTIM,BLACK,FEMALE,29,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,40,VICTIM,BLACK,FEMALE,26,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,40,VICTIM,BLACK,FEMALE,26,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,40,VICTIM,BLACK,FEMALE,26,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,40,VICTIM,BLACK,FEMALE,26,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,30,VICTIM,BLACK,FEMALE,32,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,30,VICTIM,BLACK,FEMALE,32,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,63,VICTIM,WHITE,MALE,33,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,BLACK,MALE,63,VICTIM,WHITE,MALE,33,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,BLACK,MALE,63,VICTIM,WHITE,MALE,33,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,WHITE,FEMALE,32,VICTIM,WHITE,FEMALE,51,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,WHITE,FEMALE,32,VICTIM,WHITE,FEMALE,51,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,WHITE,MALE,49,VICTIM,WHITE,FEMALE,51,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,WHITE,MALE,49,VICTIM,WHITE,FEMALE,51,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,BLACK,MALE,65,VICTIM,BLACK,MALE,45,Non-fatal,Incident Report,Theft
CLOSED,ARRESTED,BLACK,MALE,65,VICTIM,BLACK,MALE,45,Non-fatal,Incident Report,Theft
CLOSED,ARRESTED,BLACK,MALE,65,VICTIM,WHITE,MALE,20,Non-fatal,Incident Report,Theft
CLOSED,ARRESTED,WHITE,MALE,46,VICTIM,WHITE,FEMALE,48,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,16,VICTIM,WHITE,FEMALE,26,Non-fatal,Supplemental Report,Miscellaneous
CLOSED,ARRESTED,BLACK,MALE,35,VICTIM,WHITE,MALE,30,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,35,VICTIM,BLACK,FEMALE,34,Non-fatal,Supplemental Report,Miscellaneous
CLOSED,ARRESTED,BLACK,FEMALE,23,VICTIM,BLACK,FEMALE,24,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,FEMALE,23,VICTIM,BLACK,FEMALE,24,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,FEMALE,23,VICTIM,BLACK,FEMALE,43,Non-fatal,Supplemental Report,Miscellaneous
CLOSED,ARRESTED,BLACK,MALE,36,VICTIM,BLACK,FEMALE,23,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,36,VICTIM,BLACK,MALE,69,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,36,VICTIM,BLACK,MALE,66,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,36,VICTIM,WHITE,FEMALE,30,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,WHITE,MALE,41,VICTIM,BLACK,FEMALE,31,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,WHITE,MALE,41,VICTIM,BLACK,FEMALE,31,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,17,VICTIM,BLACK,FEMALE,31,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,BLACK,MALE,17,VICTIM,BLACK,FEMALE,31,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,BLACK,MALE,17,VICTIM,UNKNOWN,FEMALE,38,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,BLACK,MALE,35,VICTIM,BLACK,FEMALE,25,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,39,VICTIM,BLACK,MALE,42,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,16,VICTIM,WHITE,MALE,30,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,16,VICTIM,WHITE,MALE,30,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,29,VICTIM,BLACK,FEMALE,25,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,61,VICTIM,BLACK,MALE,33,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,FEMALE,32,VICTIM,BLACK,FEMALE,40,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,FEMALE,27,VICTIM,BLACK,FEMALE,40,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,UNKNOWN,MALE,40,VICTIM,BLACK,MALE,38,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,UNKNOWN,MALE,40,VICTIM,UNKNOWN,MALE,25,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,FEMALE,30,VICTIM,BLACK,MALE,64,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,38,VICTIM,WHITE,FEMALE,47,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,14,VICTIM,BLACK,MALE,72,Non-fatal,Incident Report,Vandalism
CLOSED,ARRESTED,BLACK,MALE,13,VICTIM,BLACK,MALE,72,Non-fatal,Incident Report,Vandalism
CLOSED,ARRESTED,BLACK,FEMALE,50,VICTIM,BLACK,FEMALE,46,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,BLACK,FEMALE,28,VICTIM,WHITE,MALE,58,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,BLACK,FEMALE,28,VICTIM,WHITE,MALE,58,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,UNKNOWN,MALE,27,VICTIM,UNKNOWN,MALE,25,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,UNKNOWN,MALE,25,VICTIM,WHITE,MALE,27,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,77,VICTIM,BLACK,FEMALE,44,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,FEMALE,52,VICTIM,BLACK,MALE,57,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,BLACK,FEMALE,35,VICTIM,BLACK,MALE,57,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,BLACK,FEMALE,49,VICTIM,BLACK,MALE,27,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,WHITE,MALE,56,VICTIM,BLACK,MALE,32,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,WHITE,MALE,56,VICTIM,BLACK,MALE,32,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,WHITE,MALE,56,VICTIM,BLACK,MALE,32,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,WHITE,MALE,56,VICTIM,BLACK,MALE,32,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,WHITE,MALE,56,VICTIM,BLACK,MALE,32,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,BLACK,MALE,26,VICTIM,BLACK,FEMALE,39,Non-fatal,Supplemental Report,Vandalism
CLOSED,ARRESTED,BLACK,MALE,26,VICTIM,WHITE,FEMALE,24,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,BLACK,MALE,26,VICTIM,WHITE,FEMALE,24,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,BLACK,FEMALE,26,VICTIM,BLACK,FEMALE,37,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,18,VICTIM,BLACK,FEMALE,44,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,18,VICTIM,BLACK,FEMALE,44,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,18,VICTIM,BLACK,FEMALE,44,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,18,VICTIM,BLACK,FEMALE,44,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,33,VICTIM,BLACK,MALE,39,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,17,VICTIM,BLACK,MALE,39,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,27,VICTIM,BLACK,FEMALE,27,Non-fatal,Supplemental Report,Vandalism
CLOSED,ARRESTED,WHITE,MALE,57,VICTIM,BLACK,MALE,57,Non-fatal,Incident Report,Miscellaneous
CLOSED,ARRESTED,BLACK,MALE,19,VICTIM,BLACK,FEMALE,19,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,57,VICTIM,BLACK,FEMALE,60,Non-fatal,Incident Report,Miscellaneous
CLOSED,ARRESTED,BLACK,FEMALE,60,VICTIM,BLACK,MALE,57,Non-fatal,Incident Report,Miscellaneous
CLOSED,ARRESTED,BLACK,MALE,32,VICTIM,BLACK,FEMALE,23,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,WHITE,MALE,41,VICTIM,BLACK,MALE,41,Non-fatal,Incident Report,Miscellaneous
CLOSED,ARRESTED,BLACK,FEMALE,19,VICTIM,BLACK,FEMALE,58,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,41,VICTIM,WHITE,MALE,41,Non-fatal,Incident Report,Miscellaneous
CLOSED,ARRESTED,BLACK,MALE,29,VICTIM,BLACK,FEMALE,26,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,UNKNOWN,MALE,18,VICTIM,UNKNOWN,FEMALE,18,Non-fatal,Incident Report,Miscellaneous
CLOSED,ARRESTED,UNKNOWN,MALE,18,VICTIM,UNKNOWN,FEMALE,18,Non-fatal,Incident Report,Miscellaneous
CLOSED,ARRESTED,BLACK,FEMALE,23,VICTIM,WHITE,FEMALE,22,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,WHITE,MALE,53,VICTIM,BLACK,FEMALE,24,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,WHITE,MALE,53,VICTIM,BLACK,FEMALE,22,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,36,VICTIM,BLACK,MALE,57,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,36,VICTIM,BLACK,MALE,57,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,FEMALE,47,VICTIM,BLACK,FEMALE,26,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,FEMALE,47,VICTIM,BLACK,MALE,46,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,25,VICTIM,BLACK,MALE,23,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,24,VICTIM,BLACK,FEMALE,26,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,26,VICTIM,WHITE,MALE,23,Non-fatal,Supplemental Report,Theft
OPEN,ARRESTED,BLACK,FEMALE,33,VICTIM,BLACK,MALE,35,Non-fatal,Incident Report,Vandalism
CLOSED,ARRESTED,BLACK,MALE,16,VICTIM,BLACK,MALE,38,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,55,VICTIM,WHITE,MALE,39,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,BLACK,MALE,17,VICTIM,BLACK,FEMALE,50,Non-fatal,Supplemental Report,Theft
OPEN,ARRESTED,WHITE,MALE,66,VICTIM,BLACK,FEMALE,30,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,35,VICTIM,BLACK,FEMALE,28,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,48,VICTIM,BLACK,MALE,63,Non-fatal,Incident Report,Theft
CLOSED,ARRESTED,WHITE,FEMALE,45,VICTIM,BLACK,FEMALE,32,Non-fatal,Supplemental Report,Miscellaneous
CLOSED,ARRESTED,WHITE,FEMALE,45,VICTIM,BLACK,FEMALE,32,Non-fatal,Supplemental Report,Miscellaneous
CLOSED,ARRESTED,WHITE,FEMALE,45,VICTIM,BLACK,FEMALE,32,Non-fatal,Supplemental Report,Miscellaneous
CLOSED,ARRESTED,BLACK,FEMALE,21,VICTIM,BLACK,FEMALE,17,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,FEMALE,17,VICTIM,BLACK,FEMALE,21,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,57,VICTIM,BLACK,FEMALE,64,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,WHITE,MALE,27,VICTIM,BLACK,FEMALE,18,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,49,VICTIM,BLACK,MALE,45,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,49,VICTIM,BLACK,FEMALE,50,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,35,VICTIM,BLACK,FEMALE,30,Non-fatal,Incident Report,Miscellaneous
CLOSED,ARRESTED,BLACK,MALE,35,VICTIM,BLACK,FEMALE,30,Non-fatal,Incident Report,Miscellaneous
CLOSED,ARRESTED,BLACK,FEMALE,27,VICTIM,BLACK,MALE,49,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,30,VICTIM,BLACK,FEMALE,34,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,30,VICTIM,BLACK,FEMALE,34,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,15,VICTIM,WHITE,FEMALE,24,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,BLACK,MALE,54,VICTIM,BLACK,FEMALE,28,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,WHITE,MALE,45,VICTIM,BLACK,MALE,35,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,BLACK,MALE,48,VICTIM,BLACK,FEMALE,41,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,WHITE,FEMALE,56,VICTIM,WHITE,MALE,48,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,70,VICTIM,BLACK,MALE,58,Non-fatal,Supplemental Report,Vandalism
CLOSED,ARRESTED,BLACK,MALE,35,VICTIM,WHITE,MALE,34,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,43,VICTIM,BLACK,FEMALE,45,Non-fatal,Supplemental Report,Miscellaneous
CLOSED,ARRESTED,BLACK,MALE,19,VICTIM,BLACK,FEMALE,48,Non-fatal,Supplemental Report,Miscellaneous
CLOSED,ARRESTED,WHITE,FEMALE,38,VICTIM,BLACK,FEMALE,28,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,WHITE,FEMALE,52,VICTIM,BLACK,FEMALE,60,Non-fatal,Incident Report,Theft
CLOSED,ARRESTED,BLACK,MALE,35,VICTIM,BLACK,FEMALE,38,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,BLACK,FEMALE,25,VICTIM,BLACK,FEMALE,30,Non-fatal,Incident Report,Sexual Crimes
CLOSED,ARRESTED,BLACK,MALE,63,VICTIM,BLACK,MALE,69,Non-fatal,Incident Report,Theft
CLOSED,ARRESTED,BLACK,MALE,63,VICTIM,BLACK,MALE,69,Non-fatal,Incident Report,Theft
CLOSED,ARRESTED,BLACK,MALE,18,VICTIM,BLACK,FEMALE,31,Non-fatal,Supplemental Report,Violence
CLOSED,ARRESTED,BLACK,MALE,43,VICTIM,BLACK,FEMALE,69,Non-fatal,Incident Report,Miscellaneous
CLOSED,ARRESTED,WHITE,MALE,25,VICTIM,WHITE,MALE,40,Non-fatal,Incident Report,Violence
OPEN,ARRESTED,BLACK,MALE,18,VICTIM,BLACK,MALE,66,Non-fatal,Incident Report,Miscellaneous
CLOSED,ARRESTED,WHITE,MALE,35,VICTIM,BLACK,FEMALE,45,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,WHITE,MALE,35,VICTIM,BLACK,FEMALE,45,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,FEMALE,18,VICTIM,BLACK,FEMALE,18,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,FEMALE,28,VICTIM,BLACK,FEMALE,24,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,FEMALE,28,VICTIM,BLACK,MALE,4,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,32,VICTIM,BLACK,FEMALE,28,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,32,VICTIM,BLACK,MALE,49,Non-fatal,Incident Report,Violence
CLOSED,ARRESTED,BLACK,MALE,56,VICTIM,WHITE,MALE,70,Non-fatal,Supplemental Report,Theft
CLOSED,ARRESTED,BLACK,MALE,56,VICTIM,WHITE,MALE,70,Non-fatal,Supplemental Report,Theft
